X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8476381.99483967,5318133.21444758,2024/04/10 00:00:00+00,2257,2257,100 DABLON CT     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.040466,-76.1446349999999,142
-8473087.95069692,5319641.52617203,2024/02/22 00:00:00+00,1439,1439,200 WESTMORELAND AVE    ,True,CRIMINAL MISCHIEF,43.050368072,-76.1150440979999,143
-8476116.2035254,5313612.55726969,2024/02/22 00:00:00+00,800,1800,100 BALLANTYNE RD     ,False,CRIMINAL MISCHIEF,43.0107782950001,-76.142247356,144
-8477318.78586937,5311839.4277516,2024/02/22 00:00:00+00,2140,2140,100 MERRITT AVE    ,False,CRIMINAL MISCHIEF,42.9991300180001,-76.153050337,145
-8475847.49430463,5311109.15933963,2024/04/11 00:00:00+00,600,600,200 E  WARRINGTON RD     ,False,SIMPLE ASSAULT,42.994332,-76.1398335,146
-8475866.25731612,5314986.60665132,2024/02/22 00:00:00+00,1920,1928,300 E  BRIGHTON AVE    ,False,CRIMINAL MISCHIEF,43.0198033630001,-76.140002051,147
-8472032.00985213,5323201.90722341,2024/02/22 00:00:00+00,2301,2301,300 N  MIDLER AVE    ,False,OFFN AGAINST FAMILY,43.073735647,-76.10555842,148
-8477484.23201353,5323126.34716715,2024/02/23 00:00:00+00,12,12,800 COURT ST     ,False,SIMPLE ASSAULT,43.0732398220001,-76.1545365649999,149
-8480523.04238251,5316928.83685384,2024/02/23 00:00:00+00,525,525,100 REED AVE    ,False,SIMPLE ASSAULT,43.032558109,-76.181834663,150
-8473046.48674695,5323085.39816193,2024/02/23 00:00:00+00,755,755,200 TAFT AVE    ,False,OFFN AGAINST FAMILY,43.0729711130001,-76.114671621,151
-8480271.94869193,5317124.37587183,2024/02/23 00:00:00+00,408,408,1600 W  ONONDAGA ST     ,False,SIMPLE ASSAULT,43.0338420790001,-76.17957905,152
-8479620.05618786,5322321.931704,2024/04/11 00:00:00+00,844,844,1 DESTINY USA DR,False,OFFN AGAINST FAMILY,43.067961,-76.1737229999999,153
-8476266.08876322,5316012.07128817,2024/02/23 00:00:00+00,1423,1423,100 ELIZABETH ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.026537983,-76.143593798,154
-8478861.87160386,5318534.80932916,2024/02/23 00:00:00+00,1639,1639,600 GIFFORD ST     ,False,SIMPLE ASSAULT,43.043102628,-76.166912112,155
-8476135.62821994,5315636.21770883,2024/02/23 00:00:00+00,1914,1914,200 MCKINLEY AVE    ,False,SIMPLE ASSAULT,43.024069694,-76.1424218509999,156
-8476241.23134356,5319147.65775075,2024/04/11 00:00:00+00,1033,1033,600 E  GENESEE ST     ,False,OFFN AGAINST FAMILY,43.047126,-76.1433704999999,157
-8476241.10377143,5316269.52464159,2024/02/24 00:00:00+00,235,235,300 BAKER AVE    ,True,CRIMINAL MISCHIEF,43.0282286620001,-76.143369354,158
-8476241.10377143,5316269.52464159,2024/02/24 00:00:00+00,948,948,300 BAKER AVE    ,True,CRIMINAL MISCHIEF,43.0282286620001,-76.143369354,159
-8476240.66238964,5322369.44705487,2024/02/24 00:00:00+00,245,245,100 GRIFFITHS ST     ,False,SIMPLE ASSAULT,43.068272823,-76.1433653889999,160
-8477382.0499605,5318739.12727371,2024/02/24 00:00:00+00,1138,1138,100 DICKERSON ST     ,False,ALL OTHER OFFENSES,43.044444012,-76.153618648,161
